id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
51,GS칼텍스,대성석유(주)신광주유소,서울,강북구,서울 강북구 삼양로 484,1629,1539,1,0,0,1,0,0,37.64640880000000,127.01532850000000
52,SK에너지,에덴주유소,서울,강북구,서울 강북구 월계로 195 (번동),1645,1545,1,1,0,1,0,0,37.62169580000000,127.04553440000000
53,SK에너지,세원주유소,서울,강북구,서울 강북구 한천로 918 (번동),1648,1548,1,1,0,0,0,0,37.63425960000000,127.03773200000000
54,알뜰주유소,화곡역주유소,서울,강서구,서울 강서구 강서로 154 (화곡동),1582,1482,0,1,0,0,0,1,37.54071860000000,126.84153030000000
55,현대오일뱅크,이케이에너지(주) 강서주유소,서울,강서구,서울 강서구 화곡로 273 (화곡동),1582,1482,1,1,0,1,0,0,37.54916300000000,126.84699640000000
56,SK에너지,강서오곡셀프주유소,서울,강서구,서울 강서구 벌말로 254 (오곡동),1597,1493,1,1,0,0,0,1,37.55396220000000,126.76842750000000
57,알뜰주유소,뉴신정주유소,서울,강서구,서울 강서구 곰달래로 207 (화곡동),1619,1519,0,0,0,1,0,0,37.53157960000000,126.85605240000000
58,GS칼텍스,지에스칼텍스㈜ 경인고속주유소,서울,강서구,서울 강서구 국회대로 225 (화곡동),1619,1519,1,1,1,1,0,1,37.52962090000000,126.85979700000000
59,알뜰주유소,목화주유소,서울,강서구,서울 강서구 국회대로 251 (화곡동),1619,1519,1,1,0,0,0,0,37.53004030000000,126.86298250000000
60,현대오일뱅크,행촌에너지 공항주유소,서울,강서구,서울 강서구 개화동로 420 (개화동),1635,1537,1,1,0,1,1,1,37.57461100000000,126.80230290000000
61,SK에너지,KH에너지(주)직영 KH외발산주유소,서울,강서구,서울 강서구 방화대로 30,1635,1535,1,1,1,1,1,0,37.54342080000000,126.81686300000000
62,S-OIL,스카이주유소,서울,강서구,서울 강서구 개화동로 457 (방화동),1635,1537,1,1,0,0,1,1,37.57148580000000,126.80438060000000
63,현대오일뱅크,현대오일뱅크 등촌주유소,서울,강서구,서울 강서구 등촌로 189 (등촌동),1636,1546,1,0,0,0,0,0,37.54680800000000,126.86255450000000
64,GS칼텍스,강서열린주유소,서울,강서구,서울 강서구 등촌로 213 (등촌동),1638,1548,1,0,0,0,0,0,37.54871199999999,126.86306280000000
65,S-OIL,하이웨이주유소,서울,강서구,서울특별시 강서구 공항대로 432(화곡동),1648,1565,1,1,0,0,1,1,37.55466770000000,126.85480530000000
66,S-OIL,(주)한진 김포공항주유소,서울,강서구,서울 강서구 하늘길 259,1650,1560,1,1,0,0,0,0,37.55077630000000,126.81555490000000
67,GS칼텍스,대성석유(주) 관문주유소,서울,강서구,서울 강서구 공항대로 314,1658,1578,1,0,0,1,0,0,37.55772320000000,126.84252430000000
68,SK에너지,화곡현대주유소,서울,강서구,서울 강서구 강서로 151 (화곡동),1666,1586,1,1,0,0,0,1,37.54026140000000,126.84119830000000
69,현대오일뱅크,HD현대오일뱅크㈜직영 양화교셀프주유소,서울,강서구,서울 강서구 공항대로 653,1669,1584,1,1,0,0,0,0,37.54733680000000,126.87747640000000
70,GS칼텍스,대성석유(주)방화대성주유소,서울,강서구,서울 강서구 양천로 176,1676,1598,1,1,0,0,1,0,37.57288150000000,126.82348210000000
71,SK에너지,개화주유소,서울,강서구,서울 강서구 양천로 57,1677,1577,1,1,0,0,0,0,37.57350140000000,126.81009430000000
72,S-OIL,신화곡주유소,서울,강서구,서울 강서구 국회대로 71,1685,1595,1,1,0,0,0,0,37.52725790000000,126.84288960000000
73,SK에너지,세원제1주유소,서울,강서구,서울 강서구 양천로 311 (가양동),1688,1628,1,1,0,1,0,0,37.56788020000000,126.85107870000000
74,SK에너지,SK KH에너지 가양주유소,서울,강서구,서울 강서구 강서로 498 (가양동),1698,1618,1,0,0,1,1,1,37.56978230000000,126.84190220000000
75,GS칼텍스,대성주유소,서울,강서구,서울 강서구 강서로 472,1698,1618,1,0,0,1,0,0,37.56750280000000,126.84141860000000
76,현대오일뱅크,HD현대오일뱅크㈜직영 가양주유소,서울,강서구,서울 강서구  양천로 391 (가양동),1699,1629,1,0,0,0,0,0,37.56788020000000,126.85107870000000
77,GS칼텍스,박물관주유소,서울,강서구,서울 강서구 양천로53길 97 (가양동),1758,1678,1,0,0,1,1,0,37.56578490000000,126.84512160000000
78,SK에너지,코리나(주)청룡주유소,서울,강서구,서울 강서구 양천로 576,1768,1668,1,0,0,0,0,0,37.55673250000000,126.86276500000000
79,S-OIL,참솔에너지,서울,강서구,서울 강서구 벌말로 281 (오곡동),1865,1765,1,1,0,0,0,0,37.55625190000000,126.76844910000000
80,SK에너지,염창동주유소,서울,강서구,서울 강서구 양천로 720 (염창동),1935,1860,1,0,0,0,0,0,37.54911130000000,126.87579060000000
81,현대오일뱅크,HD현대오일뱅크㈜직영 문성골주유소,서울,관악구,서울 관악구 문성로 97 (신림동),1612,1512,1,0,0,0,0,0,37.47779410000000,126.91430220000000
82,알뜰주유소,(주)연우에너지 신관주유소,서울,관악구,서울 관악구 신림로 290 (신림동),1612,1512,1,1,0,0,0,0,37.48041300000000,126.93066650000000
83,SK에너지,(주)한유에너지행운셀프주유소,서울,관악구,서울 관악구 남부순환로 1883 (봉천동),1654,1565,1,1,0,0,0,0,37.47910830000000,126.95916970000000
84,SK에너지,대양석유(주)직영 보라매주유소,서울,관악구,서울 관악구  보라매로 26 (봉천동),1654,1554,1,1,0,0,0,0,37.49168740000000,126.92716030000000
85,GS칼텍스,서일석유(주)락성주유소,서울,관악구,서울 관악구 남부순환로 1920 (봉천동),1675,1575,1,1,0,1,0,1,37.47717919999999,126.96238830000000
86,SK에너지,SK에너지(주)직영 대공원주유소,서울,관악구,서울 관악구 과천대로 921 (남현동),1675,1575,1,0,0,1,1,0,37.47285560000000,126.98215150000000
87,SK에너지,SK에너지(주) 신봉천,서울,관악구,서울 관악구 남부순환로 1880 (봉천동),1679,1575,1,0,0,0,1,0,37.47875720000000,126.95834320000000
88,S-OIL,유림주유소,서울,관악구,서울 관악구 신림로 176 (신림동),1688,1588,1,0,0,1,0,1,37.47372470000000,126.93488000000000
89,S-OIL,관악시몬주유소,서울,관악구,서울특별시 관악구 남부순환로 1753 (봉천동),1735,1625,1,0,0,0,0,0,37.48235850000000,126.94510100000000
90,GS칼텍스,CJ대한통운㈜ 신림주유소,서울,관악구,서울 관악구 남부순환로 1515 (신림동),1818,1718,1,0,0,0,0,0,37.48294960000000,126.91895530000000
91,SK에너지,(주)장수주유소,서울,광진구,서울 광진구 동일로 266 (군자동),1617,1517,0,1,0,1,0,1,37.55497210000000,127.07151970000000
92,현대오일뱅크,HD현대오일뱅크㈜직영 능동주유소,서울,광진구,서울 광진구 천호대로 584 (능동),1619,1515,1,1,0,1,0,1,37.55555510000000,127.08245500000000
93,현대오일뱅크,(주)창원CW,서울,광진구,서울 광진구 광나루로 460 (화양동),1619,1515,1,1,0,0,0,0,37.54510420000000,127.08049690000000
94,현대오일뱅크,HD현대오일뱅크㈜직영 중원셀프주유소,서울,광진구,서울 광진구 동일로 398 (중곡동),1628,1529,1,1,0,0,0,0,37.56354400000001,127.08883040000000
95,현대오일뱅크,HD현대오일뱅크㈜직영 장호셀프주유소,서울,광진구,서울 광진구 자양로 37 (자양동),1628,1535,1,1,0,1,0,0,37.53127830000000,127.08583250000000
